metric,value,unit
total_distance_km,166.0,km
distance_car_km,54.0,km
distance_truck_km,36.0,km
distance_bigtruck_km,18.0,km
distance_bike_km,50.0,km
distance_bus_km,8.0,km
total_fuel_consumption_l,13.7,L
fleet_fuel_efficiency_km_per_l,12.116788321167883,km/L
total_fuel_cost_usd,24.660000000000004,$
fuel_cost_per_km_usd,0.1485542168674699,$/km
fuel_consumption_car_l,3.5999999999999996,L
fuel_consumption_truck_l,4.5,L
fuel_consumption_bigtruck_l,3.6,L
fuel_consumption_bike_l,0.0,L
fuel_consumption_bus_l,2.0,L
total_emissions_kg_co2,34.54,kg
fleet_emission_factor_g_co2_per_km,208.0722891566265,g/km
emissions_per_delivery_kg,0.3837777777777778,kg
emissions_car_kg,8.28,kg
emissions_truck_kg,11.7,kg
emissions_bigtruck_kg,9.36,kg
emissions_bike_kg,0.0,kg
emissions_bus_kg,5.2,kg
fuel_cost_usd,24.660000000000004,$
labor_cost_usd,353.20459563234937,$
congestion_cost_usd,0.0,$
total_operational_cost_usd,377.8645956323494,$
cost_per_delivery_usd,4.198495507026104,$
cost_per_km_usd,2.276292744773189,$/km
clean_mode_share_ratio,0.1111111111111111,ratio
total_deliveries,90,count
deliveries_car,30,count
deliveries_truck,30,count
deliveries_bigtruck,20,count
deliveries_bike,10,count
deliveries_bus,0,count
