entity_id,distance_traveled_m,travel_time_s,monetary_cost_usd,edges_traversed,deliveries_count,avg_delivery_time_s
courier1_car_0,18000.0,15048.34845212383,0.0,5,10,15048.348452123824
courier1_car_1,18000.0,15048.34845212383,0.0,5,10,15048.348452123824
courier1_car_2,18000.0,15048.34845212383,0.0,5,10,15048.348452123824
courier3_truck_0,18000.0,971.9222462203023,0.0,5,15,971.9222462203034
courier3_truck_1,18000.0,971.9222462203023,0.0,5,15,971.9222462203034
courier4_bigtruck_0,18000.0,1295.8963282937366,0.0,5,20,1295.8963282937366
courier2_bike_0,10000.0,179.98560115190784,0.0,2,2,179.98560115190776
courier2_bike_1,10000.0,179.98560115190784,0.0,2,2,179.98560115190776
courier2_bike_2,10000.0,179.98560115190784,0.0,2,2,179.98560115190776
courier2_bike_3,10000.0,179.98560115190784,0.0,2,2,179.98560115190776
courier2_bike_4,10000.0,179.98560115190784,0.0,2,2,179.98560115190776
bus_263,8000.0,576.0,0.0,2,0,0.0
