metric,value,unit
total_distance_km,4957.194000000002,km
distance_bike_km,123.36756,km
distance_bus_km,4.297879999999999,km
distance_car_km,2253.8010400000003,km
distance_truck_km,2575.7275200000017,km
total_fuel_consumption_l,473.29381266666684,L
fleet_fuel_efficiency_km_per_l,10.473819575349644,km/L
total_fuel_cost_usd,851.9288628000004,$
fuel_cost_per_km_usd,0.17185707535351652,$/km
fuel_consumption_bike_l,0.0,L
fuel_consumption_bus_l,1.0744699999999998,L
fuel_consumption_car_l,150.25340266666666,L
fuel_consumption_truck_l,321.9659400000002,L
total_emissions_kg_co2,1185.4878921333338,kg
fleet_emission_factor_g_co2_per_km,239.14494613955665,g/km
emissions_per_delivery_kg,15.80650522844445,kg
emissions_bike_kg,0.0,kg
emissions_bus_kg,2.7936219999999996,kg
emissions_car_kg,345.58282613333336,kg
emissions_truck_kg,837.1114440000005,kg
fuel_cost_usd,851.9288628000004,$
labor_cost_usd,2020.7272390944404,$
congestion_cost_usd,0.0,$
total_operational_cost_usd,2872.656101894441,$
cost_per_delivery_usd,38.302081358592545,$
cost_per_km_usd,0.5794923704608775,$/km
clean_mode_share_ratio,0.05333333333333334,ratio
total_deliveries,75,count
deliveries_bike,4,count
deliveries_bus,0,count
deliveries_car,33,count
deliveries_truck,38,count
