metric,value,unit
total_distance_km,4964.880930000003,km
distance_bike_km,123.36756,km
distance_bus_km,4.297879999999999,km
distance_car_km,2273.5215200000002,km
distance_truck_km,2563.693970000002,km
total_fuel_consumption_l,473.1043175833336,L
fleet_fuel_efficiency_km_per_l,10.494262566364084,km/L
total_fuel_cost_usd,851.5877716500006,$
fuel_cost_per_km_usd,0.17152229502712366,$/km
fuel_consumption_bike_l,0.0,L
fuel_consumption_bus_l,1.0744699999999998,L
fuel_consumption_car_l,151.56810133333335,L
fuel_consumption_truck_l,320.46174625000026,L
total_emissions_kg_co2,1184.6007953166672,kg
fleet_emission_factor_g_co2_per_km,238.59601308035127,g/km
emissions_per_delivery_kg,15.794677270888897,kg
emissions_bike_kg,0.0,kg
emissions_bus_kg,2.7936219999999996,kg
emissions_car_kg,348.6066330666667,kg
emissions_truck_kg,833.2005402500006,kg
fuel_cost_usd,851.5877716500006,$
labor_cost_usd,1979.9949819031192,$
congestion_cost_usd,0.0,$
total_operational_cost_usd,2831.58275355312,$
cost_per_delivery_usd,37.754436714041596,$
cost_per_km_usd,0.5703223890916389,$/km
clean_mode_share_ratio,0.05333333333333334,ratio
total_deliveries,75,count
deliveries_bike,4,count
deliveries_bus,0,count
deliveries_car,33,count
deliveries_truck,38,count
