entity_id,distance_traveled_m,travel_time_s,monetary_cost_usd,edges_traversed,deliveries_count,avg_delivery_time_s
courier2_bike_0,27252.490000000005,712.7160138300047,0.0,128,1,712.7160138299951
courier2_bike_1,49375.950000000004,979.7851715015751,0.0,143,1,979.7851715015822
courier2_bike_2,39786.77,935.6878510523795,0.0,160,1,935.6878510523748
courier4_bike_1,6952.35,252.13558915286777,0.0,29,1,252.13558915286558
bus_kelheim,4297.879999999999,254.1263496891851,0.0,5,0,0.0
courier1_car_0,502925.0600000005,20698.658412759854,0.0,1162,7,9231.537452680759
courier1_car_1,353460.56999999995,17295.103532956768,0.0,832,7,7550.606268629887
courier5_car_1,485925.26000000007,16405.253437226835,0.0,1076,6,8436.801908174988
courier5_car_2,483188.3699999998,19268.65921553102,0.0,1051,6,9038.24043209533
courier4_car_0,448022.2599999997,16678.066953125897,0.0,1371,7,7712.584374877128
courier5_truck_0,871452.7100000011,53576.2941401477,0.0,2337,14,19377.400226096466
courier3_truck_0,716714.86,49111.26535327452,0.0,2041,13,17223.066464910436
courier3_truck_1,975526.4000000011,57556.69046704411,0.0,2151,11,21952.319579450126
